Word,Type,Meaning VI,Meaning EN,Gender,Masculine,Feminine,Plural,Imparfait,Past (PC),Present,Futur simple,Conditionnel,Example (FR),Example (VI),Ghi chú
une profession,noun, nghề nghiệp,profession,f,-,une profession,des professions,-,-,-,-,-,Il exerce une profession médicale.,Anh ấy làm nghề y.,
un acteur,noun,diễn viên,actor,m,un acteur,une actrice,des acteurs/actrices,-,-,-,-,-,L'acteur joue bien.,Diễn viên diễn rất tốt.,
un styliste,noun,nhà tạo mẫu,stylist,m,un styliste,une styliste,des stylistes,-,-,-,-,-,La styliste crée des vêtements.,Nhà tạo mẫu thiết kế quần áo.,
un chef,noun,đầu bếp,chef,m,un chef,une cheffe,des chefs,-,-,-,-,-,Le chef cuisine bien.,Đầu bếp nấu ăn ngon.,
un livre,noun,cuốn sách,book,m,un livre,-,des livres,-,-,-,-,-,Je lis un livre.,Tôi đọc một cuốn sách.,
un auteur,noun,tác giả,author,m,un auteur,une auteure,des auteurs/auteures,-,-,-,-,-,L'auteur écrit un roman.,Tác giả viết tiểu thuyết.,
une bouche,noun,miệng,mouth,f,-,une bouche,des bouches,-,-,-,-,-,Elle a une petite bouche.,Cô ấy có một cái miệng nhỏ.,
une lèvre,noun,môi,lip,f,-,une lèvre,des lèvres,-,-,-,-,-,Ses lèvres sont rouges.,Môi cô ấy màu đỏ.,
tiré,adj,bị kéo / căng,pulled,-,tiré,tirée,tirés/ tirées,-,-,-,-,-,Les lèvres sont tirées.,Môi bị kéo căng.,
arrondi,adj,tròn / bo tròn,rounded,-,arrondi,arrondie,arrondis/ arrondies,-,-,-,-,-,Une forme arrondie.,Một hình dạng tròn.,
noir,color,đen,black,-,noir,noire,noirs/noires,-,-,-,-,-,Une robe noire.,Một chiếc váy đen.,
blanc,color,trắng,white,-,blanc,blanche,blancs/blanches,-,-,-,-,-,Un chat blanc.,Một con mèo trắng.,
rouge,color,đỏ,red,-,rouge,rouge,rouges,-,-,-,-,,Une voiture rouge.,Một chiếc xe màu đỏ.,masc = fem
rose,color,hồng,pink,-,rose,rose,roses,-,-,-,-,,Une robe rose.,Một chiếc váy màu hồng.,masc = fem
bleu,color,xanh dương,blue,-,bleu,bleue,bleus/bleues,-,-,-,-,-,Un ciel bleu.,Bầu trời xanh.,
vert,color,xanh lá,green,-,vert,verte,verts/vertes,-,-,-,-,-,Un arbre vert.,Cây xanh.,
jaune,color,vàng,yellow,-,jaune,jaune,jaunes,-,-,-,-,,Un sac jaune.,Một cái túi màu vàng.,masc = fem
orange,color,cam,orange,-,orange,orange,orange,-,-,-,-,,Un fruit orange.,Một quả màu cam.,invariable
violet,color,tím,purple,-,violet,violette,violets/violettes,-,-,-,-,-,Une fleur violette.,Một bông hoa tím.,
gris,color,xám,gray,-,gris,grise,gris/grises,-,-,-,-,-,Un pantalon gris.,Một cái quần xám.,masc singulier = pluriel
marron,color,nâu,brown,-,marron,marron,marron,-,-,-,-,,Un sac marron.,Một cái túi màu nâu.,invariable
un photojournaliste,noun,phóng viên ảnh,,m,un photojournaliste,une photojournaliste,des photojournalistes,,,,,,,,masc = fem
Le pays,noun,"đất nước, quốc gia",country,m,un pays,-,des pays,-,-,-,-,-,Le pays est grand.,Đất nước này lớn.,
La nationalité,noun,quốc tịch,nationality,f,-,une nationalité,des nationalités,-,-,-,-,-,Il a la nationalité canadienne.,Anh ấy có quốc tịch Canada.,
Parmi,preposition,trong số,among,-,-,-,-,-,-,-,-,-,"Parmi les étudiants, elle est la plus jeune.","Trong số các học sinh, cô ấy trẻ nhất.",
Une écrivaine,noun,nữ nhà văn,writer,f,-,une écrivaine,des écrivaines,-,-,-,-,-,Cette écrivaine est célèbre.,Nữ nhà văn này nổi tiếng.,
Une réalisatrice,noun,nữ đạo diễn,film director,f,-,une réalisatrice,des réalisatrices,-,-,-,-,-,La réalisatrice travaille à Paris.,Nữ đạo diễn làm việc ở Paris.,
L’âge,noun,tuổi,age,m,un âge,-,des âges,-,-,-,-,-,L’âge est important ici.,Tuổi tác quan trọng ở đây.,
Un an,noun,năm,year,m,un an,-,des ans,-,-,-,-,-,Il a vingt ans.,Anh ấy 20 tuổi.,
Un mois,noun,tháng,month,m,un mois,-,des mois,-,-,-,-,-,Le cours dure un mois.,Khóa học kéo dài một tháng.,
Heureux / heureuse,adj,"vui vẻ, hạnh phúc",happy,-,heureux,heureuse,heureux/heureuses,-,-,-,-,-,Elle est heureuse aujourd’hui.,Hôm nay cô ấy vui.,
Triste,adj,buồn,sad,-,triste,triste,tristes,-,-,-,-,-,Il semble triste.,Anh ấy có vẻ buồn.,
Content(e),adj,"vui, hài lòng","glad, satisfied",-,content,contente,contents/contentes,-,-,-,-,-,Nous sommes contents.,Chúng tôi hài lòng.,
Être en forme,expression,khỏe mạnh,to be fit,-,-,-,-,-,-,-,-,-,Je suis en forme aujourd’hui.,Hôm nay tôi khỏe.,
Chaud,adj,nóng,hot,-,chaud,chaude,chauds/chaudes,-,-,-,-,-,Il fait chaud en été.,Mùa hè trời nóng.,"le chaud (n, m)/ les chauds"
Faim,noun,đói,hunger,f,-,une faim,des faims,-,-,-,-,-,J’ai faim maintenant.,Bây giờ tôi đói.,
Froid,adj,lạnh,cold,-,froid,froide,froids/froides,-,-,-,-,-,L’eau est froide.,Nước lạnh.,"le froid(n, m) - cái lạnh "
Soif,noun,khát,thirst,f,-,une soif,des soifs,-,-,-,-,-,Elle a soif après le sport.,Cô ấy khát sau khi chơi thể thao.,
Un architecte,noun,kiến trúc sư,architect,m,un architecte,une architecte,des architectes,-,-,-,-,-,L’architecte dessine une maison.,Kiến trúc sư thiết kế một ngôi nhà.,
Un pâtissier / une pâtissière,noun,thợ làm bánh,pastry chef,m,un pâtissier,une pâtissière,des pâtissiers/pâtissières,-,-,-,-,-,La pâtissière prépare un gâteau.,Người thợ làm bánh chuẩn bị một chiếc bánh.,
,,,,,,,,,,,,,,,
Un objet,noun,đồ vật,object,m,un objet,-,des objets,-,-,-,-,-,C’est un objet important.,Đó là một đồ vật quan trọng.,-
Un stylo,noun,bút (có mực),pen,m,un stylo,-,des stylos,-,-,-,-,-,J’écris avec un stylo.,Tôi viết bằng bút mực.,-
